sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
5.6,3.0,5.5,2.1,virginica
5.4,3.2,1.5,0.2,setosa
5.2,3.0,5.1,2.3,virginica
4.4,3.5,1.2,0.3,setosa
6.0,2.4,4.2,1.4,versicolor
5.9,2.9,3.5,1.4,versicolor
5.5,2.6,4.3,1.0,versicolor
5.0,3.7,1.4,0.2,setosa
6.0,2.8,5.6,2.1,virginica
5.5,2.4,3.9,1.3,versicolor
6.3,3.0,3.5,1.4,versicolor
5.2,3.4,1.2,0.3,setosa
5.7,3.4,4.6,2.3,virginica
4.2,3.0,0.9,0.2,setosa
5.6,2.8,4.8,1.4,versicolor
6.3,3.2,5.6,1.9,virginica
5.0,3.3,1.5,0.2,setosa
4.9,3.9,1.4,0.1,setosa
6.1,2.6,4.4,1.3,versicolor
6.0,2.9,3.6,1.1,versicolor
6.2,2.1,4.1,1.1,versicolor
5.9,2.9,5.0,2.1,virginica
7.0,3.0,5.3,1.9,virginica
5.9,2.4,4.7,1.2,versicolor
6.1,2.3,5.3,1.1,versicolor
5.2,3.6,1.4,0.3,setosa
5.4,2.6,4.6,1.2,versicolor
5.6,3.0,1.3,0.3,setosa
5.8,2.9,4.5,1.1,versicolor
5.4,2.4,3.3,1.4,versicolor
6.3,2.4,4.2,1.1,versicolor
4.5,3.9,1.2,0.3,setosa
5.9,2.3,5.4,1.9,virginica
5.2,3.4,1.4,0.1,setosa
5.0,3.3,1.4,0.1,setosa
4.4,2.9,1.5,0.3,setosa
7.6,2.6,4.4,1.3,versicolor
6.1,2.9,4.6,1.8,virginica
5.4,3.4,1.6,0.3,setosa
5.2,2.9,1.8,0.4,setosa
5.9,3.0,3.9,1.1,versicolor
7.7,3.0,5.7,1.8,virginica
4.7,3.2,4.1,1.3,versicolor
5.6,3.3,1.5,0.5,setosa
7.6,3.0,5.1,1.8,virginica
5.0,4.0,1.5,0.3,setosa
5.6,2.6,4.5,1.6,versicolor
6.2,2.7,4.1,1.2,versicolor
4.6,3.5,1.8,0.2,setosa
6.9,2.9,6.3,1.8,virginica
5.7,2.9,5.9,2.3,virginica
6.7,2.9,3.9,1.3,versicolor
7.4,3.1,5.3,2.4,virginica
4.9,3.6,1.4,0.3,setosa
6.6,2.4,4.7,1.6,versicolor
5.6,3.7,1.5,0.2,setosa
4.9,2.8,5.4,1.7,versicolor
4.2,4.2,1.5,0.3,setosa
5.8,2.3,3.4,1.2,versicolor
6.5,2.0,4.2,1.4,versicolor
5.2,3.6,1.5,0.2,setosa
6.4,2.9,5.2,2.0,virginica
5.5,3.5,1.4,0.3,setosa
5.7,2.8,4.2,1.5,versicolor
5.9,3.1,5.0,2.3,virginica
5.1,3.4,1.6,0.2,setosa
5.1,3.1,1.3,0.2,setosa
6.1,2.9,4.8,1.6,versicolor
5.7,3.3,1.6,0.2,setosa
4.5,3.3,1.4,0.2,setosa
4.8,3.5,1.6,0.3,setosa
5.9,2.6,5.5,2.5,virginica
5.0,3.0,1.3,0.5,setosa
6.5,2.8,5.5,2.1,virginica
5.8,2.6,5.9,1.9,virginica
5.3,3.6,1.4,0.1,setosa
6.1,2.9,4.3,1.4,versicolor
6.2,3.0,5.9,2.4,virginica
7.6,2.9,5.6,2.5,virginica
6.2,2.8,4.2,1.1,versicolor
5.1,2.9,3.9,1.1,versicolor
7.2,2.3,5.7,2.3,virginica
