sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
6.1,3.4,6.1,1.9,virginica
6.3,3.0,5.1,2.0,virginica
4.4,3.5,1.4,0.3,setosa
6.0,2.7,3.0,1.5,versicolor
6.3,2.9,6.1,2.0,virginica
4.9,3.8,1.5,0.2,setosa
4.6,3.7,1.6,0.1,setosa
7.1,2.8,5.7,2.3,virginica
6.8,3.1,5.1,2.3,virginica
4.9,3.3,1.6,0.3,setosa
6.2,2.6,4.1,1.6,versicolor
7.0,2.6,6.9,1.7,virginica
7.3,3.2,4.8,1.8,virginica
6.8,2.6,3.8,1.2,versicolor
6.9,3.4,5.7,1.7,virginica
4.6,3.7,1.4,0.2,setosa
4.8,3.3,1.5,0.2,setosa
5.7,2.5,4.7,2.6,virginica
5.7,2.9,3.5,1.2,versicolor
6.3,3.0,5.1,1.7,virginica
5.5,2.9,3.8,1.3,versicolor
4.8,2.8,1.4,-0.0,setosa
4.1,2.4,1.4,0.3,setosa
5.9,3.8,1.5,0.1,setosa
4.9,4.1,1.6,0.4,setosa
5.3,3.5,1.5,0.3,setosa
5.2,3.4,1.7,0.1,setosa
6.0,2.9,4.0,1.5,versicolor
6.2,2.8,3.8,1.5,versicolor
6.5,3.0,5.9,1.6,virginica
6.4,2.7,5.6,2.2,virginica
5.6,2.4,4.5,1.0,versicolor
6.6,3.2,3.8,1.2,versicolor
6.4,2.5,5.1,1.0,versicolor
6.1,2.9,5.0,2.3,virginica
7.8,3.0,6.2,2.7,virginica
5.9,3.2,5.6,2.0,virginica
6.7,3.0,5.2,1.7,virginica
4.9,3.2,1.5,0.3,setosa
5.1,4.0,1.7,0.3,setosa
6.8,3.1,5.3,1.0,versicolor
6.1,2.8,5.9,2.2,virginica
6.1,2.8,4.0,1.0,versicolor
6.0,2.7,4.2,1.2,versicolor
5.9,3.0,3.9,1.4,versicolor
6.2,2.7,3.7,1.6,versicolor
5.1,3.6,1.4,0.3,setosa
6.8,2.5,5.5,1.9,virginica
5.4,2.4,5.1,1.4,versicolor
6.4,2.5,4.5,1.5,versicolor
6.5,3.0,5.8,2.3,virginica
6.9,2.9,6.3,1.9,virginica
5.7,3.4,4.3,1.2,versicolor
7.2,2.8,6.3,2.1,virginica
4.5,3.7,1.4,0.2,setosa
6.1,3.6,5.8,2.3,virginica
5.2,3.4,1.6,0.3,setosa
6.0,2.4,4.5,1.5,versicolor
4.5,3.5,1.3,0.2,setosa
5.5,3.2,4.6,1.8,versicolor
5.5,3.3,1.7,0.1,setosa
5.2,3.9,1.6,0.2,setosa
6.3,2.6,4.1,1.6,versicolor
7.0,2.6,5.8,1.6,virginica
6.4,2.3,4.1,1.2,versicolor
4.9,3.5,1.6,0.2,setosa
5.1,2.6,5.0,1.1,versicolor
5.9,2.8,4.0,1.4,versicolor
