sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,,
1.3,4.2,2,1.4,versicolor,,
1.5,10,33,2.9,setosa,,
6.1,1.2,0.9,0.4,setosa,,
11.5,3.4,13.8,3.1,versicolor,,
8.6,7.8,9.5,3.1,virginica,,
2.9,10,24,0,setosa,,
0,10.7,5.5,2,virginica,,
15,6.7,8.4,1.3,virginica,,
0,2.5,2.7,1.1,versicolor,,
5.5,10,4.3,3,versicolor,,
6.1,4.5,1.5,0.9,setosa,,
0,4.3,1.2,0.1,setosa,,
10.1,1.1,2.8,1.2,setosa,,
6.1,10.2,4,1.4,versicolor,,
5.4,3.7,3.5,1.7,setosa,,
11.3,3.9,13.9,3.1,virginica,,
11,7.8,4.5,3.1,setosa,,
1.8,4.1,3,0,setosa,,
5.7,12.3,14.7,5.7,virginica,,
12,4.6,30,0.5,versicolor,,
15.6,4.6,9.6,3.1,virginica,,
0,0.2,3.5,4.8,virginica,,
7.1,5.3,1,3.1,setosa,,
14.3,1.5,11.2,3.8,virginica,,
7.4,4.4,10.8,0.2,virginica,,
2.6,3.6,0,1.4,versicolor,,
6.4,3.2,3.4,1.9,versicolor,,
5.6,1.5,0.6,0,setosa,,
3.5,0.7,1.6,0,setosa,,
3.6,0,3.6,0,setosa,,
7.5,5,6.1,0,versicolor,,
7.8,5.2,8.5,1.1,versicolor,,
9.7,3.5,2.3,3.4,versicolor,,
20,2.8,31,1.1,setosa,,
16.9,0.2,7.3,1.2,versicolor,,
6.3,0,31,1.4,setosa,,
7.5,1.6,1.7,0.2,setosa,,
6.2,6.5,14,5.2,versicolor,,
23,2.6,14,1.5,versicolor,,
6.6,0,3.6,1.5,virginica,,
4.6,2.1,32,3,setosa,,
21,4.7,0,2.1,virginica,,
16.4,7,6.5,3,virginica,,
9.6,5.8,7.8,8,virginica,,
15.5,2.9,4.6,3.3,versicolor,,
10.7,5.6,6.3,8,versicolor,,
5.9,1,13,3,virginica,,
19.1,0,3.4,3.5,versicolor,,
