sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,state
7.4,2.6,6.3,2.0,virginica,Kerala
5.8,3.2,6.5,2.1,virginica,Kerala
4.7,3.5,2.4,0.1,setosa,Kerala
5.0,3.2,2.4,0.2,setosa,Kerala
6.0,2.6,5.8,1.2,versicolor,Kerala
4.3,3.1,2.5,0.3,setosa,Kerala
6.2,2.8,5.5,1.1,versicolor,Kerala
6.3,2.9,5.5,1.1,versicolor,Kerala
7.0,2.9,6.0,2.0,virginica,Kerala
5.4,3.1,4.7,1.2,versicolor,Kerala
4.8,3.7,2.6,0.4,setosa,Kerala
5.4,3.4,2.4,0.2,setosa,Kerala
7.4,2.8,6.7,2.1,virginica,Kerala
5.3,3.5,2.5,0.2,setosa,Kerala
5.8,3.3,6.5,1.7,virginica,Kerala
6.6,3.7,6.4,2.1,virginica,Kerala
7.6,3.0,6.9,2.4,virginica,Kerala
4.6,3.2,2.5,0.1,setosa,Kerala
5.3,3.9,2.2,0.3,setosa,Kerala
5.5,2.5,4.7,1.2,versicolor,Kerala
6.8,2.5,6.6,2.3,virginica,Kerala
7.3,2.8,6.1,1.6,virginica,Kerala
5.4,3.6,2.2,0.1,setosa,Kerala
7.3,3.5,6.6,2.3,virginica,Kerala
4.6,3.2,2.7,0.1,setosa,Kerala
6.0,2.9,7.2,2.1,virginica,Kerala
4.5,3.9,2.6,0.4,setosa,Kerala
6.0,2.6,4.3,1.3,versicolor,Kerala
4.9,3.5,2.6,0.2,setosa,Kerala
6.4,2.8,5.8,1.3,versicolor,Kerala
6.3,3.0,5.1,1.3,versicolor,Kerala
4.9,2.8,2.5,0.1,setosa,Kerala
5.5,2.4,5.6,1.4,versicolor,Kerala
6.3,2.7,6.7,2.2,virginica,Kerala
6.6,2.9,6.8,1.8,virginica,Kerala
4.9,3.2,2.5,0.1,setosa,Kerala
5.1,3.4,1.1,0.2,setosa,Tamilnadu
6.8,3.2,6.0,1.6,virginica,Tamilnadu
6.2,2.6,4.3,1.5,versicolor,Tamilnadu
4.9,2.7,3.3,1.2,versicolor,Tamilnadu
6.9,3.6,4.6,1.8,virginica,Tamilnadu
6.6,2.6,4.1,1.5,versicolor,Tamilnadu
4.6,3.5,1.4,0.4,setosa,Tamilnadu
6.0,2.5,4.2,1.1,versicolor,Tamilnadu
6.3,3.1,5.0,1.1,versicolor,Tamilnadu
6.0,2.3,3.9,1.5,versicolor,Tamilnadu
4.2,3.1,1.6,0.4,setosa,Tamilnadu
4.7,3.8,1.5,0.4,setosa,Tamilnadu
6.0,2.6,3.9,1.2,versicolor,Tamilnadu
5.1,3.7,1.4,0.1,setosa,Tamilnadu
5.3,3.0,5.4,2.3,virginica,Tamilnadu
4.8,3.7,1.0,0.3,setosa,Tamilnadu
6.9,3.2,4.3,2.0,virginica,Tamilnadu
5.8,2.6,4.9,1.2,versicolor,Tamilnadu
4.2,4.0,1.4,0.3,setosa,Tamilnadu
6.1,3.0,4.8,2.2,virginica,Tamilnadu
5.8,3.0,6.5,2.4,virginica,Tamilnadu
5.2,2.8,3.8,1.3,versicolor,Tamilnadu
5.1,3.6,1.3,0.2,setosa,Tamilnadu
4.4,3.0,1.4,0.4,setosa,Tamilnadu
6.6,2.6,4.0,1.5,versicolor,Tamilnadu
5.2,2.9,1.6,0.3,setosa,Tamilnadu
5.9,3.0,3.3,1.5,versicolor,Tamilnadu
6.0,2.9,3.8,1.3,versicolor,Tamilnadu
5.8,3.5,1.3,0.3,setosa,Tamilnadu
4.9,3.2,4.6,1.5,versicolor,Tamilnadu
6.5,2.8,4.2,1.3,versicolor,Tamilnadu
4.6,2.3,4.6,1.3,versicolor,Tamilnadu
7.0,2.2,4.0,1.5,versicolor,Tamilnadu
5.7,2.7,4.1,1.3,versicolor,Tamilnadu
4.9,4.1,1.6,0.1,setosa,Tamilnadu
5.2,2.1,4.5,1.6,versicolor,Tamilnadu
7.5,3.0,4.8,1.7,virginica,Tamilnadu
5.7,3.1,3.6,1.2,versicolor,Tamilnadu
5.3,3.5,1.6,0.2,setosa,Tamilnadu
6.7,2.9,5.6,2.2,virginica,Tamilnadu
4.8,3.4,1.7,0.2,setosa,Tamilnadu
6.5,2.9,5.8,2.1,virginica,Tamilnadu
6.7,2.3,4.6,1.0,versicolor,Tamilnadu
6.1,2.8,4.6,1.6,versicolor,Tamilnadu
5.8,2.7,3.9,1.6,versicolor,Tamilnadu
4.4,3.4,1.7,0.2,setosa,Tamilnadu
6.6,2.7,5.3,1.9,virginica,Tamilnadu
7.0,3.5,5.4,1.8,virginica,Tamilnadu
6.8,2.9,5.0,1.6,virginica,Tamilnadu
6.5,3.1,5.8,2.1,virginica,Tamilnadu
